Genes	N.Sequences	N.Proteotypic.Sequences	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_159-73X.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_036-41.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_008-47.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_032-19.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_020-38.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_098-25.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_080-42.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_064-26.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_030-45.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_004-6.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_173-80.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_181-84.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_165-76.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_157-73.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_195-91.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_035-14.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_007-3.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_003.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_013-5X.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_019-8.mzML
MAN2B1	12	12	2791.38	902.347	904.643	1341.89	981.713	2881.72	4914.96	4755.38	4636.1	2205.52	1683.64	2170.03			1628.85	1682.55	3553.34	2996.23	1170.81	2983.15
MAPKAPK5-AS1	1	1			702.476				366.756				4493.46									
MAPRE3	1	1															17333.5					
MB	2	2				6546.32			4723.8		9087.67		12612									
MEP1A	12	12	115778	22150.5	12782.5	50038.9	9498.6	5785.34	22700.1	34413.1	12529.2	39386.2	43432.1	30968.3	15130.5	38716.6	63265.6	22156.7	8969.49	10828.6	5329.93	24851.5
MEP1B	9	9	58230.1	36104.2	3631.99	17609.5	5531.38	4852.8	12683.1	41836	18120.7	29139.3	29258.9	11376.7		17676.5	12044.8	14758.5	2298.78	6285.9		17833.5
MGAM	62	54	139675	121098	47548.4	104128	111155	140713	71977.7	120165	92390	28050.3	112147	144121	191035	147360	17451.4	290969	43860.6	256748	123655	93796.6
MGAM2	7	7	2061.56	1968.23	1326.81	622.989	2429.24	3400.79	1108.03	3151.21	2231.18	743.914	984.713	1796.08					718.255			
MGST3	1	1		356.953			77.0153						190.404			610.491	8846.29					
MME	31	31	70058.7	27094.6	11339.8	11214.4	10779.3	49760.9	24435	8870.41	17891.7	12947.2	24201.2	21601	34297.8	14956.9	59484.6	7029.25	8522.38	14817.9	8316.07	11325.4
MMP8	1	1									9439.44											
MMP9	3	3			895.134					3217.55	25175.2	3069.02							3660.81			
MPO	26	22		5046.74	14216.8	8043.18	3136.05		17628.9	92847.6	138718	29267.4	17360.9			4116.67	30133.5	12366.9	46366.3	14827.9	7802.2	18064.4
MRPS27	1	1									20781											
MSN	2	2		684.482					399.909	3039.34	19640.7											
MT-CYB	1	1	866.468			2120.44	771.944	1188.89	7709.56	1134.17	1864.82		8799.73	2662.43		2844.19	8163.21	3793.52	1620.08	5224.1		4625.19
MUC1	3	3			5506.98	3992.34	380.973	1592.92	857.372	3270.46	5732.42	13991.6	843.27			2345.87						
MUC12	4	4				36205.2											51964.4					
MUC13	5	5	9128.65	22141.9	34450.7	4608.3	6191.07		5003.66	2331.22	1878.47	1013.04	8165.2			3692.46	31016.7		1947.63			2073.23
MUC2	43	42	43565.2	111669	80114.7	187414	112173	163425	653868	171010	209285	31042.1	91320	328870	76193.1	69788.5	44265.3	105226	48075.3	144393	140233	128831
MUC3A;MUC3B	1	0	7496.24	20629.2	5289.8	19099.2	11801.6	28870.5	12273.3	10161.6	6811.02	2341.36	2924.84	12616.4		4204.1		5462.55	923.653	16021.9	7967.59	5468.02
MUC5AC	7	7	21923.9	34636.3	7394.42	78282.6	19956.3	10953	34647.9	14417.2	30911.6	12440.1	26148.8	20577.8	6162.04	12614.1	19687.3	18193.1	11326.6	8165.99	17566.5	41284.3
MUC5B	9	9	11184.3	2452.56	8870.5	12602.2	1876.15	5678.31	6911.67	5632.92	6367.35	3178.16	8681.88	3306.39	20744.3	4341.54	4202.98	18173.8	1243.54	2747.19		6760.35
MUC6	4	4	61229.3	42252.4	13511.7	46279.5	3805.54	52240.1	12271.2	49082	25746.7	32181.9	18979.2	106536	29967.5	20104.2	11707.2	6662.65	41961.2	71169.7	4103.86	72834.8
MYBPC1	2	1		1986.69			2664.8		3011.24	1581.02		736.404	2687.67				14596.5					
MYH1	6	4		22133.2		16689.1	18180.9	16415.9	7790.89	72771.9	17525	28579.4	20473.2		9628.07		15646.3	6871.15	1805.54	23012.7		
MYH2	35	5	22713.6	126765	3787.67	516939	44019.4	135354	82361.2	163530	114681	120942	177928		233555	15679.1	126119	72536.1		69779	20459.9	8071.21
MYH4	13	4		30456.5		80339.5	19476.7	43138.2	13759.8	27500.7	17780.3	11761.3	19431.5		23550.3		13722.1	12643.8		6761.98		
MYH7	12	4	7194.32	7726.06		115278	27407.9	4326.34	28522.7	5339.26	63475.6	35744.6	50906.8		14914.1	3001.66	17390.8	25151.9		9905.47		
MYH8	3	3		8409.84		49320	51853.2		15293.2	38618.8		6665.99	928.48					708.473		3218.26		
MYL1	6	4	7670.54	24168.4	755.734	106055	5708.31	4971.26	85603.7	17388.7	68546	328604	170670		89097.1	3691.46	80642.2	66418.5		28780.4	5135.5	5971.63
MYL11	6	6	436.634	6490.41		23341.9	628.074	4712.17	14041.1	16466	18642.1	25926.6	21956.5		9027.29		7738.99	3196.4		3644.9		
MYL12A;MYL12B;MYL9	2	0			1218.57						26316.7								2008.37			
MYL2	1	1										5089.45										
MYL3	2	2				15784.7	1528.73		3307.08			12483.9	12106.4									
MYL4	1	1		1398			389.657			2874.75												
MYL6	2	2			1090.12						13331.9		2359.46				13218.8					
MYL6B	2	2	832.461			13062.6			1470.01		1560.24	7768.76	7215.18					8539.23		2959.08		
MYO1A	2	2		1107.17	782.262	992.394	793.823	467.317			958.594		693.181			2402.74	5373.9		2481.2	620.076		
MYOM2	3	3		1101.49		15404.7	3634.57		1882.6	16285.7	5247.87	858.23	2239.5									
MYT1L	1	1			3607.56	31537.9			3356.99	15512.9			3368.25	3435.99		7732.73	20599.5					
NAALADL1	19	19	16081.9	7187.1	5612.81	23861.2	7838.8	5476.65	9008.29	17055.1	7975.88	2631.21	9699.82	17837.5	8967.26	16472.4	2282.41	19040.4	4957.47	23535.1	10836	9735.36
NBL1	1	1	3611.13		1080.83		599.166		2154.73	1682.53	1895.56	1146.55										
NCF1;NCF1B;NCF1C	1	0									4182.69								2671.21			
NCF2;ZKSCAN8	1	0									7803.09								1273.23			
NCF4	1	1									3382.73								477.356			
NCSTN	8	8	3466.27	1423.13	2255.18	3273.41	1057.88		4115.62	3661.29	3741.26	2266.69	1701.23	2246.59	2972.65	1182.95	2630.24	780.788	2848.27	1542.84	1170.16	1693.21
NHLRC3	4	4	832.064	484.176			628.418		870.432	933.949	1514.41	511.235	581.47					1148.08	859.567	1241.29		1566.39
NME1;NME2	2	0		6735.24	5574.44	9649.63	4073.65	7402.44	2646.41	18236.4	28932	8673.57	3352.25			2345.5	5679.57			5573.9		
NPC2	3	3	6652.27									4106.2										
NPEPPS	1	1									4234.03								2873.25			
NPM1	3	3	870.325			1060.67		4060.83	3780.21	5266.29	8486.03	1988.54	1456.81	1256.39	3767.59	540.534		3415.31	790.555			1315.13
NT5C2	1	1									4202.2								822.673			
NUDT5	1	1												248.295		183.821	258.158		371.187			
NUTF2	1	1			1294.65						11294.7	2693.86										
OLFM4	5	5	13045.5	18059.2	30693.8	14744.3	604.901	8845.19	31594.1	1290.03	55365.9	13914.9	5834.08	13164.8		3084.49	11672.4		23407.7			19250.1
OR2AG1;OR2AG2	1	0		242953			894126						95589.5				29660.7	24624.2	188638			
ORM1	8	6	73535.5	6216.82	6230.17		7273.08	2933.55	103197	67522.6	86649.2	73261.2	8825.01	5857.34	7137.91			12871.9	188709	33510.7	3220.23	35138.5
ORM2	4	4	366.918				2501.23		3560.94	2030.96	17675.2	30862	1688.54						11070.5	2589.61		
P4HB	8	8		733.728	1875.54		232.849		510.753		29095.4	1682.7	1860.53			918.38			2081.01			
PDCD6	2	2		718.754	1521.93						6138.27					2505.31						
PDCD6IP	1	1			633.396		320.541				2502.27					1202.87	1980.28		1374.14			
PDIA6	1	1									6743.56											
PDLIM5	2	2	889.058						13053.7											4958		
PEPD	11	11	6619.13	6668.99	1896.03	5861.84	2359.38		16502.1	5146.91	6214.88	7682.85	9835.89	9261.08		3101.05	6409.56	6489.05	11611.4	5195.06	3306.81	
PFN1	1	1			943.938						28329.2	3005.51							962.754			
PGAM1	1	1		2868.84			933.678	3677.91		4263.9	920.713		1498.44							5688.97		
PGAM2	2	2				11479	690.766		5961.39		5993.06	16204.8	6732.61				10268.5	13069.8		6613.98		
PGD	3	3									35231.7								1566.05			
PGK1	4	2		2780.52			1204.71	1387.95		10725.5	625.932	2466.64	4028.33		4196.88		1931.07			3220.2	1470.89	
PGLYRP1	6	6	3296.59		480.843				1283.75	2263.76	11874.2		1651.57						4208.22	3356.87		
PGM1	4	4		2771.7		10196.4		4840.79	2047.58		1800.52	4141.13	1271.04									
PI3	4	4	3994.18		28856	3883.53	3714.49		56847.4	4127.62	27309.6	6801.21	5228.23	3315.11					1637.59			
PIGR	26	26	355850	177608	2.0988e+06	434549	116919	160901	522242	508157	320900	602389	382243	345197	359322	468183	163896	86889.9	106376	119551	76344.5	156347
PIP	4	4	4564.23	3479.83	1288.83		563.682	2412.7	2023.58	993.717	5076.44	1367.84	4877.27			2041.2	24741.5	2068.34			6917.66	2178.98
PKM	2	1				5924.28						10060.3	1914.07					4704.71				
PLA2G1B	6	6	243961	763643	328988	96066.2	71563.7	942246	452618	368941	114890	53569.7	66762.1	77015.3	172747	117258	215933	66196.6	111916	600417	294757	165255
PLA2G2A	5	5	4221.3	8395.74	8767.37	5594.25	5478.11	46646.1	23230.7	15204.6	21311	4235.5	5724.41	5164.28	8922.13	10955.3	34489.5	4299.39	5449.44	14391.4	4435.52	16290.5
PLB1	8	8	6256.16	4517.45	1853.9	10625.2	1972.46	6087.53	1409.99	2457.6	1937.14	1069.82	3336.73	1653.54	5188.55	2709.89		5013.32	1006.9	17023.8	2965.69	2061.4
PLBD1	7	7		1691.49	3822.73		809.874	4264.58	6260.68	7641.51	15737.2	6392.82	3301.8	4355.76				9082.94	3931.01	3448.74		3752.86
PLEC	1	1					1147.92		1623.83		1964.18											
PLG	1	1									3517.29	1963.89										
PLPP1	1	1	455.118	476.512	611.979		776.997	1503.13	948.387	601.986			1137.33	2320.83		1471.72		2564.78	863.95			613.062
PLS1	1	1			4767.54		971.82	2341.35			7021.79								2122.18			
PLSCR1	2	2							1789.63			1430.21	588.212				865.082		879.623			526.249
PNLIP	13	12	11919.4	12121.3	8996.92	3788.85	6526.91	6508.72	3980.1	140639	9310.05	37014.3	11310.5	6034.38	7822.72	8502.95	62272.2	5188.33	1256.75	9048.89	1752.04	3799.9
PNP	1	1									13990.3											
PPIB	1	1									5964.65	874.938										
PRB1;PRB2	1	0														6114.84						
PRB3	4	3	7003.46	2053.22	1350.36							554.397			7733.33	8859.47		3628.96		7592.8	2360.68	
PRB4	1	1	908.65									26888				1106.68						
PREP	2	2			1244.56	1632.48	312.755		2213.85	3637.56	3348.87	2431.74	732.435						247.062			
PRG2	4	4			7268.09		820.263				142846	2300.87					7688.15		2357.09			2374.25
PRG3	1	1			1171.79						5740.7								743.658			
PRH1	2	2	25208.8	12812.6	20513.4		809.51	5659.9		2736.67	9950.77	14758.5	2598.12	1578.51		27781.6		10314.4		25114.5	34321.2	
PRKCB	3	3							628.55		4164.09								2584.06			
PRSS1	6	4	664180	161005	235903	118232	71754.5	285827	85898.7	367286	104325	80762	227875	171796	259785	576271	96878.1	1.00398e+06	133729	1.50178e+06	2.19333e+06	634800
PRSS2	7	4	1.92848e+06	407882	373344	77388.1	51431.8	397819	181792	424971	150417	89789.6	304703	108708	384491	425712	71310.6	1.09129e+06	320709	1.11838e+06	1.13945e+06	786117
PRSS3	2	2	17572.6							2900.26		793.196	11112.5	30651.7	96949.6	25792.8	40272.8	38060	2904.66	10024.1	42550.2	17006.7
PRSS57	1	1																	1368			
PRSS8	3	3	7438.27	1441.12	1451.35		1287.5	2744.69	4468.46	2983.96	1187.96	1288.57	728.521	1371.96		1833.38	1707.89		1269.03	1832.72	1355.11	1026.94
PRTN3	7	7	4199.86	16300.5	13441.7	5448.28	3617.98	25952.8	137669	612393	1.06723e+06	16900.2	7934.4			4197.49	24177.1	104125	826288	44281.6	39409	53209
PSAP	4	4	26006	11366.3	13553.2	11519.3	1973.25	39758.4	27243.3	4279.15	77422.3	70252	8532.22		20761.4	3776.34	15006.2		6817.08	12978.1	7054.89	7328.95
PSCA	1	1	2965.76	12426.6				1436.49	2646.58	1776.51	7578.87		11139.6		3166.76	950.265	4959.8	1331.58	2358.87		7289.37	6027.21
PSMA4	2	2			1395.14				789.924		10538.3	2038.9							739.981			
PSMA7;PSMA8	2	0	519.257	1389.89	5351.94		546.681			2823.84	6929.55	7590.12					16157.3		840.779			
PSMB2	1	1			1600.22				630.294	954.57	14505.7		898.165				4502.32		2287.41			
PSMB9	1	1			2334.18						6678.63											
PSME1	1	1					47.2381				264.582								86.1376			
PTPRH	1	1	1861.23																			
PTTG1IP	2	2	1139.99		1241.33		2046.9	2685.16	2891.62		4586.24		467.265						476.383			
PYGL	1	1									7763.43	2340.14										
PYGM	11	7		3865.69		21852.8	312.205		3232.24	3641.79	1510.16	14179.8	5224.86				8324.89	6302.6				
QSOX1	1	1			5053.35						786.83	1065.43										
RAB11A;RAB11B	1	0			4177.85	8115.05	1717.33	5131.16			27033.6		1498.1		11544.5	2025.97			2607.64			1002.24
RAB39A;RAB6A;RAB6B	1	0			5716.49	9081.5	1447.72						6248.52				69873.1					
RBP4	1	1																	1387.57			
REG1A	7	5	2.08898e+06	24282.3	109240		3351.18	175178	216920	59437.2	104328	195203	223650	4826.95	144642	30718.4	16684.9	69996.5	164581	23398.7		73177.7
REG3A	2	2	2472.65			1750.37		12971.7		2487.09		14781.9		3805.58		9403.11	23867.3					2876.22
RER1	1	1					687.588				2223.36								1744.2			
RETN	5	5		2171.08	1747.26	7400.08	663.575	2561.79	6521.81	8520.54	6386.76	2954.93	849.759				3102.35		4894.02	2546.44		
RHOA;RHOC	1	0		920.56	265.823		685.371		928.836		455.27		444.767							963.478		
RNASE2	3	3	11124.4	4583.93	1601.87		4808.53	2319.57	27549.2	17793.1	73392	1593.62	7254.65		4457.92			47425.3	122930	6207.69	2787.16	36133.2
RNASE3	1	1			5345.69				5756.39	4106.03	4225.43		10281.9				76809.4		2269.37			
RNASET2	1	1	350.362	1245.51	2331.39		251.307		306.836	2547.76	1467.7	411.927	746.918	550.268		757.551	2156.71	1340	357.083	907.466		
RNF13	1	1									726.502							452.32	355.948			
RPL12	1	1			217.528	1510.4											10388.9					
RPL13	1	1		820.994				1944.69		1427.61	5438.15											
RPL15	1	1		5032.44	3169.54		2507.6			5766.73	9857.47								646.059			
RPL7	1	1									1775.38					1083.19	12327.6					
RPS27A;UBA52;UBB;UBC	4	0	1524.12	1382.47	38864.8	10626.3	1311.21			1479.91	1379.13	2118.36	9741.42	7943.43	9094.2	22136.9	113233	1861.36	4888.07		3544.32	2596.2
RPS9	1	1		1531.55	276.292		788.374	1671.97		3063.45	2790.38	286.197					1415.34	924.05				
RTN3	1	1									189.738		118.302			282.76		727.673	1010.15			171.812
RTN4	2	2		2733.17		2556.79	1297.51		556.211		490.336	351.902	450.198				6078.06	761.313				
S100A11	3	3			1172.25						34730.6	1067.44	1809.6						2094.16			
S100A12	4	4			32470.6				15670.3	49346.4	1.64434e+06	37208.5	14476.4						107762			14105.6
S100A4	3	3									31964.1								1320.13			
S100A6	3	3		1886.87	44850.5	38393.3			707.741	8875.52	13663.9	4938.82	2085.73			4015.95			1216.17			3640.53
S100A7	6	2	2835.7	2480.84	2184.6	5217.67	1108.97	5113.54	39239.5	7041.67	6959.58	35989	22855	3169.45	8997.53		6234.01	23718.7	1052.16	2777.46	21235.9	
S100A8	11	11	25689.6	59261.2	213894	54259	15174.7	268757	926055	2.0973e+06	1.36695e+06	235355	241611	14956.7	9699.9	13212.8	30141.8	601036	241466	408713	106699	644176
S100A9	12	12	37725.2	70895.3	308994	96760.7	16553.1	415969	1.25688e+06	3.17121e+06	1.82915e+06	541154	516345	29431.7	40222	21910.4	45746.1	1.00871e+06	353564	1.15744e+06	303536	914527
S100P	3	3			3967.19	22151.7					32833.9	1499.68	9229.61						9605.47			
SAMM50	1	1		25558.2		107300				40970.9	30501.6			10893.3	12241.4	17545.7				22729.3		22147
SEC13	1	1		6969.38	8573.91	1008.76	3176.26	16936	2961.52	13971.4	2206.46	1540.99	7016.78		46162.5							3575.71
SELENBP1	28	28	32006	16797.9	32245.4	79846	35972.7	19931.9	46152.6	60070.4	18488.4	6746.63	35873.3	62714.7	32298.9	22241.9	9398.11	75459.4	29252.4	63412.4	48383.3	30387.3
SERPINA1	33	32	968802	243245	371231	517329	42366.6	268281	395525	1.37893e+06	336760	1.89417e+06	502902	147592	389285	150997	208786	597623	765639	1.03355e+06	171706	628502
SERPINA3	16	16	46548.7	80661.9	38579.1	184909	21201.4	73515.4	137121	426958	180289	101474	92356.3	18536.3	131795	17980.8	50605.7	128147	65650.5	92520.8	27598.6	252731
SERPINA3-1	1	1		99.1403	284.636	6410.7	131.098		592.622	526.035	296.739	652.014										
SERPINA3-4;SERPINA3-5	1	0	636.888			4089.46	212.966		666.127			803.467	3895.21			1879.92		8558.6		1918.26	2123.07	2581.04
SERPINA5	1	1										2700.56							819.099			
SERPINB1	17	16	11765.9	9831.53	38562.4	84974.2	4539.82		12512.2	54954.2	49637.5	50784.1	18772.6	35703.2		4543.13	21106.7		55023.8	4727.93		8716.65
SERPINB10	11	11							7564.66	16729.4	16187.8	7362.31							9120.52			10912.1
SERPINB12	2	2											1548.3				20611				3822.06	
SERPINB14	7	7	4337.6	3109.18		301485			116215	22502.5	93818		57092.3	40437.3		28973.9	142010	79138.1		46312.3		182243
SERPINB3	10	5	1861.82	2121.05	2748.65	4209.48	1607.13	2450.99	8997.83	11694.8	3804.6	15320.3	11800.3		4826.45		5773.03	6050.87			5464.03	3747.87
SERPINB4	3	3							630.307			3395.35	1323.19					1923.91				
SERPINB6	19	18	32513.6	52629.2	10455.8	19186	13048.1	30900.8	34032.6	37878.6	77290.9	8146.43	12078.1	7945.04	19372.5	4970.73		17033.7	4810.55	11112.9	7831.5	27993.5
SERPINC1	25	25	31259.6	15418.1	5678.11	35512.4	8146.35	9469.63	57311.5	208182	73953.4	178208	28776.7	18647.5	36536.6	7816.63	24080.8	54747	59458.9	140641	12307.7	70849.8
SERPINF2	1	1		2093.65		10881.8				11549.7	7216.44	13263										
SERPING1	5	5				24496.7				62000.4	7507.73	13018.6	9035.14	8597.99		6234.93	47882.3		4301			27038.2
SERPINI2	1	1	619.003	6827.54	679.699	5145.08				4699.26		437.24	3428.64	1313.18			7911.69					3980.77
SFN;YWHAB;YWHAE;YWHAG;YWHAH;YWHAQ;YWHAZ	1	0		307.584	1884.99												6804.79					
SGSH	4	4	667.096	294.444	278.653		404.568	836.456	1517.11	905.966	248.165		641.656	1089.63				1380.4	323.82		410.857	530.802
SI	42	41	20812.3	9623.53	6176.13	15658.4	4208.95	6793.42	18141.3	78526.9	15366.2	12691.5	11735.8	19999.7	9020.97	11426.7	23644.2	5852.65	7246.83	7825.23	5560.14	12146.9
SIAE	9	9	16192.7	6368.98	5306.62	14158.6	5200.11	15625.6	23031.8	11523.6	10246.8	7699.1	5019.56	15327.1	11699.1	3601.66		19745.9	6788.91	11267	6051.68	9059.81
SLC25A11	2	2		4686.1		1424.34	938.903		765.307				1798.12				5425.36	4767.07				
SLC25A12;SLC25A13	1	0					644.412		297.177								2782.71					
SLC25A24	1	1									2138.28											
SLC25A3	3	3	574.323	24682.9	1286.13	25426.6	14764.3	6930.84	12338.2	6714.18	7113.82	3400.88	7321.6			1786.97	12262.2	15969.3		10776.7	5229.41	
SLC25A4	1	0		9750.14		17521.4	5604.24		7734.93			2807.17	7319.76				32606.6	48299.3		13602.6		
SLC25A5	8	2	140.701	13254.3		6132.61	3565.15	2074	6921.59	2330.44	2683.25	1128.75	1452.07			645.789	1663.96	3374.98		3728.51		
SLC25A6	1	1		6920.02			351.373			989.249	352.177		585.633									
SLC26A2	1	1			1620.92	6527.63	206.39						807.326	802.149	4529.72	5690.96	21913.1					
SLC26A3	11	11		8696.03	21227.8	42496.7	11648.5	22606.7	4468.65	4459.03	7093.7		21801.5	16120	73602.4	68551.2	89447.5	9835.77	10370.5	10429.5	6077.05	3074.68
SLC3A1	2	2	1201.72	2279.53	481.349	1020.14	568.386				1427.49		567.348						374.004			
SLC44A4	2	2	609.291	358.553	887.628	1917.49	310.266						886.555	2400.7	1473.64	3151.28	3587.65		442.897	1240.77		
SLC5A1	1	1															52367					
SMIM22	1	1			2965.22	12074.1	1983.43				961.219					9819.33	10317.6		679.052			
SMPDL3A	7	7	12993.7		2809.47	5853.88	1702.2	3038.54	6389.46	3753.45	3466.3	4245.77	6546.35	10500.2	3762.82	1056.27	1754.56		1371.78	3460.48	4180.1	6237.83
SMPDL3B	7	7	3711.89	5794.23	4995.06	12176.5	4168.71	12820.9	8825.39	7649.37	5099.82	2642.46	3087.96	6990.83	14935.8	4225.16	2591.22	10021	1671.2	9948.61	5990.61	5140.55
SMR3B	1	1	3374.74	24471.6	4376.57			30126.4					8934.19	3806	58903.9		51906.3	44961.8		52850	28640.6	2953.14
SNAP23	1	1										241.35	273.421						664.867			
SOD1	5	5	169761	133398	31922.1	247668	118163	293148	271414	23150	241086	151448	118483	345291		3609.73		6645.23	65272.5	332772		147061
SOD2	11	11	53255.5	1434.44	3227.36		12738.3	92251.5	67094.4		75349.2	41674.3	17344.5			1818.03			4367.71	1533.32		
SPINT1	2	2	3017.49						3009.28													
SPRR2A;SPRR2B;SPRR2D;SPRR2E;SPRR2F;SPRR2G	1	0	309.622		661.392			1595.31	829.259		559.038	2889.78				158.055						
SQOR	2	2			4685.83	2766.69					7406.94	5688.08	1635.59			2279.94			614.275			
SRI	2	2		2767.73	2697.46		752.74	1564.74		831.001	1386.36	138.678	575.759			2086.37	1573.82		123.558			
SRL	2	2		3441.42		5461.33				14092.5	1635.8		2902.8					15319.7		4134.47		
SSBP1	2	2									3408.45	338.958							220.024			
SSR1	2	2			2099.82						12824.3	1003.51	2098.63						2024.03	2883.23		
STK24;STK26	1	0					938.718				2010.17		614.375						1753.7			
STOM	9	9									14153	4173.28	1097.65						7578.23			950.95
STOML1	1	1							820.42	1825.29	838.789											1917.03
STT3A	1	1		346.802							3543.61											
SUCLG1	1	1			3289.28																	
SYPL2	1	1				11771	432.6		1476.8			4099.84	3649.82				26106.1	46874.9		8479.09		
TALDO1	5	5									24326.7	6645.2							4300.13			
TCAP	2	2	1208.56			2021.24	298.997		837.547		12831.9		5160.41		8314.19	792.281		5367		6673.62		
TF	19	19	3283.89				2756.19		3213.63		34868.1	6511.12							3763.83			
TFF2	5	5	58985.1	4517.4	12579.3	20628.8		119716	12373.9		40358	55890.2	24293.6			9267.83	3137.57	9491.93	578.343	2316.91		19607.9
TFF3	5	5	212261	16293.1	19930.2	15155.1	5710.25	236257	571868	35753.4	21209	83884.7	25152.6	126198	18034.3	8797.99	9646.12	112309	6405.57	13428.3	22271.7	23229.7
TICAM2;TMED7	1	0									9465.07											
TIMP1	1	1									19423.3	17161.2							2730.14			
TIRAP	1	1		9493.13				4879.57	5441.31	3192.16				11694.3		22803.6	12819.7		3950.61		38277.5	
TKT	6	6			2131.72				2166.94		134392	6956.4							4920.8			
TLN1	2	2									4604.95											
TM9SF3	1	1			403.656						1632.22											
TMED5	1	1									3187.67											
TMEM167A	1	1		1154.52		461.774	259.218	656.137	319.807	674.473							745.898			2195.48		
TMEM260	1	1					3423.57		2369.73				3059.85	44958.7		10329.4	18820.2	3161.34		3069.85	9826.54	3470.62
TMEM30A;TMEM30B	1	0									8088.01								1379.29			
TMPRSS15	22	22	103775	108473	15718.2	25700.6	46322.5	94263	26176.2	81134.4	27001.3	6248.43	12981.1	52631.7	38928.7	36960.2	16503.1	70103.3	36788.8	45645.8	42546	58953.7
TMPRSS2	2	2	1000.89	497.689	2087.98	1050.4	654.277	2743.09	2341.67	1653.23	3936.53	2369.64	570.851							710.347		
TNNC1	2	2		4377.6		17477.3	386.657		1058.32	5386.09	2276.72	3873.32	2705.97					2645.25				
TNNC2	4	4	700.666			4491.11		11978.7	11832.9	549.068	2671.03	2403.52	17721.4							3996.63	15494.1	
TNNI2	2	2				46149.6			5227.31		15454	17534.6	6861.01					14867.2				
TNNT1	6	3	2095.55	65825.4		210991	10052.1	242708	36748.4	41304.9	77080.2	41674.4	47860.8		33619.3	1271.94	52317.3	21101.9		9438.67		
TNNT3	2	2		5103.93		13755		2633.83	1960.24		2522.07	1437.48	1143.25		3385.67		2907.34					2775.7
TOLLIP	2	2	278.757	319.901	585.515		446.7				3560.08					700.999			1161.61			874.626
TPI1	2	2										1353.6	2068.14	1498.96			3243.03	8031.02	2342.94	2054.31	931.243	6801.89
TPM1	3	3		10809.9		20303.3		25221.7	4017.36	5989.63	5860.62	26950.9	4716.67		13825.1			5341.7		6626.77		
TPM2;TPM4	2	0		1479.89		17013.3			1530.26		2045.64	7985.06	2911.98				5545.9	6350.4		6225.42	1466.29	
TPM3	1	1				2452.53			320.306			1018.32			8270.83			2452.96		2564.78		
TREH	19	19	4562.35	5790.04	8037.95	12490.8	21250.8		34800.5	30915.8	7269.26	4400.96	7286.21	6687.63	26159.5	32973.8		6859.4	2579.88	156446	9728.68	8069.35
TSN	1	1									6563.56								314.556			
TSPAN1	1	1	3594.88	19354.2	41886.2	8744.59	14937.9	3719.47	9909.03				8947.55	1620.93		17653.8	93045.2		2985.06			
TSPAN3	1	1									7963.8											
TSPO	3	3			1202.81						21340.3		1305.1				3431.45		2283.84			
TSPYL4	1	1					699.338		4252.39													
TTC14	1	1		11091.2	4896.11					6044.75	1932.85		6049.1			9802.17	52313.8					
TTN	52	52	7469.1	15006	4042.99	41213.6	10622.4	10364.8	24269.2	8380.21	96011.3	24559.6	81287.8		40157.4	2506.55		122037		136987	15592.1	3590.67
TTR	14	14	124074	69462.9	6213.99	3860.25	18417.6	112005	291244	4885.74	633692	579532	161181	56327.6	20382.8	46185.7		208378	24171.3	210097	154638	109055
TUBA1A;TUBA1B;TUBA1C	1	0		405.79		1775.18	380.403			1309.82	13673.4	2058.19										
